code,denomination,batch
A7K3Z92,200,batch-01
M4T8X51,200,batch-01
R2F9C37,200,batch-01
B6Y3H84,200,batch-01
Q9W2E67,200,batch-01
L5D8N23,200,batch-01
X3V7S64,200,batch-01
P8K2J59,200,batch-01
T6Z4A81,200,batch-01
H2M7C95,200,batch-01
N9R5B27,200,batch-01
F3X8L62,200,batch-01
W7Q2D49,200,batch-01
C5T9S73,200,batch-01
Y2A6K84,200,batch-01
D8P4V71,200,batch-01
Z3H7M29,200,batch-01
J6L2F85,200,batch-01
S9N4X36,200,batch-01
K2C7W58,200,batch-01
R5Y8T24,200,batch-01
V7D3Z91,200,batch-01
B2F6H47,200,batch-01
Q8M5L32,200,batch-01
A4X9C76,200,batch-01
T3K7P68,200,batch-01
N6S2R53,200,batch-01
E9V4D21,200,batch-01
H5W8J63,200,batch-01
Z2B7Y49,200,batch-01
L8Q3A65,200,batch-01
X4N9T28,200,batch-01
M7C5S81,200,batch-01
P2D8K37,200,batch-01
R6F3Z52,200,batch-01
W9H7L24,200,batch-01
Y5T2N68,200,batch-01
K8V4B39,200,batch-01
D3S7Q56,200,batch-01
A9M2X84,200,batch-01
T6C5R31,200,batch-01
Z8L2W47,200,batch-01
N3Y9F65,200,batch-01
B7Q4H28,200,batch-01
V2K8S73,200,batch-01
M5D7X91,200,batch-01
H4A9T62,200,batch-01
P3R8C57,200,batch-01
S6Z2N85,200,batch-01
L9W5B34,200,batch-01
F7X3K62,200,batch-01
Q2H8D47,200,batch-01
Y4N6T93,200,batch-01
C8M5R21,200,batch-01
A3Z7S64,200,batch-01
W6B2L85,200,batch-01
T9K4V37,200,batch-01
D5X8Q62,200,batch-01
N2R7H49,200,batch-01
Z4F9C53,200,batch-01
K7Z4M53,500,batch-01
T2R8D67,500,batch-01
H9W3A52,500,batch-01
B4X7N86,500,batch-01
Q6C2S79,500,batch-01
M8Y5T34,500,batch-01
D7L3K92,500,batch-01
R4V8B65,500,batch-01
S2H7Q83,500,batch-01
A9N5Z24,500,batch-01
W3T6F78,500,batch-01
L8B4Y35,500,batch-01
C7R2M69,500,batch-01
X5D9K72,500,batch-01
N4S8A57,500,batch-01
T7H3V64,500,batch-01
P2Y6Q85,500,batch-01
B9L4R23,500,batch-01
Z6M8D41,500,batch-01
K3W7T52,500,batch-01
F8C2N74,500,batch-01
R5S9H63,500,batch-01
A2X6B97,500,batch-01
V7D3L58,500,batch-01
Q4T8M62,500,batch-01
Y9K5C37,500,batch-01
N2H7Z48,500,batch-01
S8R4W63,500,batch-01
D5A9T27,500,batch-01
L7X3Q82,500,batch-01
M4B8H56,500,batch-01
T2C7V93,500,batch-01
Z5R9N64,500,batch-01
K8D4Y21,500,batch-01
W7S3A68,500,batch-01
F2M6Q85,500,batch-01
H9T5X34,500,batch-01
B3N8L57,500,batch-01
R6C2K94,500,batch-01
Y4V7D82,500,batch-01
Q8A3S59,500,batch-01
N5H9T46,500,batch-01
L2Z7R63,500,batch-01
C6M4B95,500,batch-01
X3K8W27,500,batch-01
D9Y5H62,500,batch-01
S7T2N48,500,batch-01
A4R6C83,500,batch-01
M8Q3V75,500,batch-01
T5L9D24,500,batch-01
Z2H7K56,500,batch-01
B6Y4R93,500,batch-01
W3N8C65,500,batch-01
F9T2S47,500,batch-01
K5D7A38,500,batch-01
Q4L9X62,500,batch-01
H8M3R75,500,batch-01
N2C6V84,500,batch-01
S9B4Z27,500,batch-01
Y7T3K68,500,batch-01
D6Q2W59,500,batch-01
L5R8H34,500,batch-01
M9A4C72,500,batch-01
T3N7B56,500,batch-01
Z8V2D41,500,batch-01
K4S9Y37,500,batch-01
W6H3T85,500,batch-01
F2R7M68,500,batch-01
B9C5L24,500,batch-01
Q7D8A53,500,batch-01
N3X4K79,500,batch-01
S5Z2H64,500,batch-01
Y8T6C31,500,batch-01
D4M9R27,500,batch-01
L7B3Q85,500,batch-01
M2H6W74,500,batch-01
T9C4N52,500,batch-01
Z3R8D67,500,batch-01
K6Y2A48,500,batch-01
W5T7S93,500,batch-01
F4Q9L62,500,batch-01
B8H3M75,500,batch-01
Q2C6R84,500,batch-01
N7D4K59,500,batch-01
S3A8Z21,500,batch-01
Y6L5T47,500,batch-01
D8M2H63,500,batch-01
L9R4B75,500,batch-01
M3Q7C82,500,batch-01
T6N8W54,500,batch-01
Z4K2D69,500,batch-01
K9S5A37,500,batch-01
W2H7R86,500,batch-01
F6T3M95,500,batch-01
B4C8L27,500,batch-01
Q5Y2N63,500,batch-01
N8D6K41,500,batch-01
S4R9T75,500,batch-01
Y3M7H52,500,batch-01
D2C8Q64,500,batch-01
L6B5Z83,500,batch-01
M7T4A29,500,batch-01
A2M4K6E,500,batch-01
B5R7T9R,500,batch-01
C8K3M6T,500,batch-01
D4T9R6P,500,batch-01
E7M2K8K,500,batch-01
F3R8T6L,500,batch-01
G9K4M6F,500,batch-01
H2T7RHN,500,batch-01
J6M3K7N,500,batch-01
K8R2T6C,500,batch-01
L3K9MDM,500,batch-01
M7T4RQK,500,batch-01
N2M8KME,500,batch-01
P5R3TFG,500,batch-01
Q4K7MLK,500,batch-01
R9T2MPS,500,batch-01
S3K8RDG,500,batch-01
T6M4KSK,500,batch-01
V2R9TBB,500,batch-01
W7K3MWW,500,batch-01
X4T8RDD,500,batch-01
Y9M2KEY,500,batch-01
Z3R79U4,500,batch-01
A8K24GV,500,batch-01
B3T9RK8,500,batch-01
C6M4L12,500,batch-01
DAA8T64,500,batch-01
1PUEJ4Q,500,batch-01
1TU7CV8,500,batch-01
2BD7EKZ,500,batch-01
3YFXEGC,500,batch-01
3Z8A39S,500,batch-01
48J6D9R,500,batch-01
4NPC37K,500,batch-01
4RQ6RH5,500,batch-01
4RX9BTY,500,batch-01
5D9UKRY,500,batch-01
5DBL8PY,500,batch-01
5QJZWSK,500,batch-01
5SNH39G,500,batch-01
6MB1YCL,500,batch-01
6SHSL4X,500,batch-01
7K8MMVX,500,batch-01
7SYF3A5,500,batch-01
86A8GYF,500,batch-01
8B1DA74,500,batch-01
8KYR2D1,500,batch-01
8NA6FJH,500,batch-01
A5R7K32,1000,batch-01
B8T4M67,1000,batch-01
C2H9D45,1000,batch-01
D7K3S84,1000,batch-01
E4N8T63,1000,batch-01
F6R2A97,1000,batch-01
G3T7M52,1000,batch-01
H9C4B68,1000,batch-01
J2K6R75,1000,batch-01
K8M3T41,1000,batch-01
L5R9C62,1000,batch-01
M7D2H83,1000,batch-01
N4T8K56,1000,batch-01
P3R6M94,1000,batch-01
Q9A4T72,1000,batch-01
R6H3K85,1000,batch-01
S2M8D47,1000,batch-01
T5R7A39,1000,batch-01
V8K4C61,1000,batch-01
W3D9T52,1000,batch-01
X7M2R68,1000,batch-01
Y4K8H37,1000,batch-01
Z6T3A95,1000,batch-01
A2M7R84,1000,batch-01
B5K9T63,1000,batch-01
C8D4H71,1000,batch-01
D3R6M92,1000,batch-01
E7T2K58,1000,batch-01
F4A9R36,1000,batch-01
G8M5T24,1000,batch-01
H2K7D69,1000,batch-01
J6R3T85,1000,batch-01
K4M8A27,1000,batch-01
L9T5R63,1000,batch-01
M2D7K84,1000,batch-01
N6H3R52,1000,batch-01
P4T8M91,1000,batch-01
Q7K2A63,1000,batch-01
R5M9D28,1000,batch-01
S8T4H76,1000,batch-01
T3R6K95,1000,batch-01
V7A2M54,1000,batch-01
W5D8T63,1000,batch-01
X2H7R81,1000,batch-01
Y6K4M92,1000,batch-01
Z3T9A57,1000,batch-01
A8R5D64,1000,batch-01
B2M7K93,1000,batch-01
C6T3R85,1000,batch-01
D9H4A72,1000,batch-01
E2K8M61,1000,batch-01
F7R3T94,1000,batch-01
G4A9D52,1000,batch-01
H6M2K83,1000,batch-01
J3T7R64,1000,batch-01
K9D4A75,1000,batch-01
L2M8R63,1000,batch-01
M5T6K92,1000,batch-01
N8R3H47,1000,batch-01
P2A9T65,1000,batch-01
Q6M4D83,1000,batch-01
R7K2T94,1000,batch-01
S3H8M61,1000,batch-01
T9A5R37,1000,batch-01
V4K7D86,1000,batch-01
W8M2T53,1000,batch-01
X5R9A72,1000,batch-01
Y2T6K94,1000,batch-01
Z7D3M65,1000,batch-01
A9H4T28,1000,batch-01
B3R8K57,1000,batch-01
C7M2D94,1000,batch-01
D5T9A63,1000,batch-01
E8K4R27,1000,batch-01
13XDXEX,1000,batch-01
1R8KQ6S,1000,batch-01
1WP6WX1,1000,batch-01
1XJF49Z,1000,batch-01
1ZSBYEY,1000,batch-01
28EDKKV,1000,batch-01
2C4B6EW,1000,batch-01
2DAPVPJ,1000,batch-01
2HRCF3W,1000,batch-01
2L6JB2B,1000,batch-01
2RKAG4Q,1000,batch-01
2UJN31M,1000,batch-01
2ZF2ASH,1000,batch-01
3DNZ85D,1000,batch-01
3HJCCV8,1000,batch-01
3K3G83T,1000,batch-01
3LNJSD7,1000,batch-01
3X9TAUV,1000,batch-01
3XWGLX3,1000,batch-01
423UH2B,1000,batch-01
4251XM8,1000,batch-01
48KNUPD,1000,batch-01
49H1NSC,1000,batch-01
4ANZ4EX,1000,batch-01
4GG5LVB,1000,batch-01
4HU8VCQ,1000,batch-01
4JCVZCY,1000,batch-01
4Y436DG,1000,batch-01
53TP9HY,1000,batch-01
59K4FQ5,1000,batch-01
59QCV6B,1000,batch-01
5GXF9MC,1000,batch-01
5J4MT6R,1000,batch-01
5NW79KD,1000,batch-01
5U5QRV7,1000,batch-01
5V4VDGP,1000,batch-01
5YV4S6V,1000,batch-01
623GW4W,1000,batch-01
65WWK5E,1000,batch-01
6AK3KE7,1000,batch-01
6SA6ULE,1000,batch-01
6SZLHLV,1000,batch-01
6V2T985,1000,batch-01
6W5945L,1000,batch-01
6WNR1Q3,1000,batch-01
6ZS1ZGQ,1000,batch-01
75SRT8R,1000,batch-01
75VTDY9,1000,batch-01
7BWQE6V,1000,batch-01
7E63N18,1000,batch-01
7R73NGG,1000,batch-01
8B9RKU4,1000,batch-01
8CERUQF,1000,batch-01
8GAU775,1000,batch-01
8K57YX1,1000,batch-01
8SDF4TC,1000,batch-01
8U2C6FW,1000,batch-01
8UQYQNS,1000,batch-01
8ZTF4F4,1000,batch-01
9BN3Q5T,1000,batch-01
9CXJ1KL,1000,batch-01
9T377R6,1000,batch-01
AEDQECX,1000,batch-01
AHEKCZK,1000,batch-01
AHTXHU4,1000,batch-01
AJTCDUJ,1000,batch-01
AL4XTKP,1000,batch-01
AW8BHZV,1000,batch-01
AXJSL54,1000,batch-01
AYR3MFZ,1000,batch-01
AYV13Q8,1000,batch-01
B8WM8PY,1000,batch-01
BFP136X,1000,batch-01
BFUQ2RV,1000,batch-01
BKRJ7HP,1000,batch-01
BN2XTET,1000,batch-01
BRLVA3F,1000,batch-01
BTBMTVX,1000,batch-01
BZVMPX8,1000,batch-01
CJ9XG5G,1000,batch-01
CUNCNCW,1000,batch-01
CW711K8,1000,batch-01
CWDUYZ4,1000,batch-01
CY4TDE2,1000,batch-01
CZP55RZ,1000,batch-01
D2XGRNN,1000,batch-01
D724G85,1000,batch-01
D9FMEER,1000,batch-01
DP31B17,1000,batch-01
DWDD79L,1000,batch-01
E5GDAFR,1000,batch-01
E99B17C,1000,batch-01
E9RT8PJ,1000,batch-01
EDLVU5H,1000,batch-01
EFWKEJT,1000,batch-01
EP9SJYE,1000,batch-01
EV65CDZ,1000,batch-01
F4CBFPQ,1000,batch-01
F4GZJDX,1000,batch-01
F4J6MDS,1000,batch-01
FC4WSBF,1000,batch-01
FRH3Q15,1000,batch-01
FT5R61X,1000,batch-01
G1USKXF,1000,batch-01
G4Z6K4M,1000,batch-01
GBV12NE,1000,batch-01
GNUQZMV,1000,batch-01
GV9NKZL,1000,batch-01
GXKJCU7,1000,batch-01
GYZHTQ4,1000,batch-01
GZYD2TN,1000,batch-01
H3Y4DUV,1000,batch-01
H6FPBDX,1000,batch-01
HBTRQJG,1000,batch-01
HDR36EH,1000,batch-01
HE75Z9G,1000,batch-01
HGRJ16Z,1000,batch-01
HMNP7TU,1000,batch-01
HP45Q3X,1000,batch-01
J75AFBS,1000,batch-01
J98FDHK,1000,batch-01
JERZZ1C,1000,batch-01
JFUW3MN,1000,batch-01
JGCV5CZ,1000,batch-01
JJ7LS4P,1000,batch-01
JRS42ZQ,1000,batch-01
JZ9TLS7,1000,batch-01
K1N9JET,1000,batch-01
K5ZZ5EJ,1000,batch-01
KR3MLMF,1000,batch-01
KYV2JFV,1000,batch-01
L1A1S6U,1000,batch-01
L387P2D,1000,batch-01
L4E116S,1000,batch-01
L61TQWD,1000,batch-01
L6AS9M9,1000,batch-01
LA357UC,1000,batch-01
LDFT548,1000,batch-01
LFU9XFR,1000,batch-01
LM3BMX3,1000,batch-01
LZVWFDK,1000,batch-01
M67MJE6,1000,batch-01
M6DRH6J,1000,batch-01
M81HSS5,1000,batch-01
MHBJAYR,1000,batch-01
MJ1Q9YE,1000,batch-01
ML5C3ZR,1000,batch-01
MSCG4YW,1000,batch-01
MUWGFWU,1000,batch-01
N17GR1Y,1000,batch-01
N4HQKTK,1000,batch-01
NQJKEUG,1000,batch-01
NV2Z55H,1000,batch-01
NYYKRGK,1000,batch-01
NZ56U19,1000,batch-01
PE33X63,1000,batch-01
PK4HURV,1000,batch-01
PRGY3KR,1000,batch-01
PSFLRME,1000,batch-01
PTJU58H,1000,batch-01
PU8NHJE,1000,batch-01
QBTCM75,1000,batch-01
QCW2TEP,1000,batch-01
QG1T6ZL,1000,batch-01
QH6HK8U,1000,batch-01
QN6YVQQ,1000,batch-01
QT48B1X,1000,batch-01
QUU6EQS,1000,batch-01
QXLE9H9,1000,batch-01
R1FZQBW,1000,batch-01
R38R785,1000,batch-01
R42F2VX,1000,batch-01
R55LZZU,1000,batch-01
RDRFF8E,1000,batch-01
RGVHCY4,1000,batch-01
RGXJCYX,1000,batch-01
RJPEPPQ,1000,batch-01
RQEXBQQ,1000,batch-01
RTLG1C7,1000,batch-01
RZUL5VA,1000,batch-01
SC6H1FU,1000,batch-01
SNMKEM8,1000,batch-01
SPWRS2J,1000,batch-01
SUWHA84,1000,batch-01
SWH29A6,1000,batch-01
SX2FX1W,1000,batch-01
SXTTANF,1000,batch-01
SZK7EFF,1000,batch-01
T3SF7BD,1000,batch-01
T5EURTX,1000,batch-01
T764TWR,1000,batch-01
TM48F7Y,1000,batch-01
TUPXPS9,1000,batch-01
TVSQHNW,1000,batch-01
UEF916C,1000,batch-01
UUB2TAD,1000,batch-01
UXH6EKQ,1000,batch-01
UYDXTHZ,1000,batch-01
V2AVUP4,1000,batch-01
V54L5Y5,1000,batch-01
V6WEA6G,1000,batch-01
16ZLCAR,1000,batch-01
6C66YUW,1000,batch-01
72A2ZA7,1000,batch-01
845MBEF,1000,batch-01
94RZ49R,1000,batch-01
9CKVRK4,1000,batch-01
9ZXDQN9,1000,batch-01
A348QSP,1000,batch-01
CTT8QY2,1000,batch-01
DB3L5TL,1000,batch-01
DFBJFHP,1000,batch-01
DH386M5,1000,batch-01
J448WGH,1000,batch-01
L4WF2UG,1000,batch-01
MA6LPBX,1000,batch-01
MKFVA2C,1000,batch-01
QKXEGF9,1000,batch-01
S298QY9,1000,batch-01
SH41JSD,1000,batch-01
